epoch,acc,loss,lr,mean_absolute_error,mean_squared_error,sparse_categorical_accuracy,val_acc,val_loss,val_mean_absolute_error,val_mean_squared_error,val_sparse_categorical_accuracy
0,0.62481284,1.2782815184824705,0.001,22.987823,712.0144,0.62481284,0.8342199,0.4659417899651716,22.90648,712.2484,0.8342199
1,0.78451407,0.640435249337491,0.00095,22.985336,711.8808,0.78451407,0.8594858,0.38725155621430296,22.90648,712.24884,0.8594858
2,0.8113862,0.5529204944841607,0.0009025,22.98998,712.09357,0.8113862,0.8697695,0.3688596062741037,22.90648,712.24896,0.8697695
3,0.8241602,0.507416512260789,0.000857375,22.985174,711.97076,0.8241602,0.8691489,0.34586947116643024,22.90648,712.2493,0.8691489
4,0.8346081,0.47839582848108975,0.00081450626,22.990978,712.1354,0.8346081,0.8745567,0.3392355092669611,22.90648,712.2496,0.8745567
5,0.84073883,0.4551135252710585,0.0007737809,22.984766,711.86816,0.84073883,0.8758865,0.33498565966294985,22.90648,712.24963,0.8758865
6,0.84502643,0.43933683431236886,0.0007350919,22.991468,712.1889,0.84502643,0.88448584,0.3107532907256299,22.90648,712.2495,0.88448584
7,0.8484072,0.4316214154973953,0.0006983373,22.98935,712.13477,0.8484072,0.88147163,0.30886043058866164,22.90648,712.2497,0.88147163
8,0.8525765,0.4164073048395946,0.0006634204,22.983208,711.7632,0.8525765,0.88882977,0.2949361555320395,22.90648,712.24976,0.88882977
9,0.8555433,0.4071651646305458,0.0006302494,22.98549,711.9422,0.8555433,0.88306737,0.31709385193926465,22.90648,712.24976,0.88306737
10,0.85899305,0.3981099817546417,0.0005987369,22.989187,712.1069,0.85899305,0.88439715,0.30680495359550763,22.90648,712.2499,0.88439715
11,0.8624625,0.3886668511678548,0.0005688001,22.98637,711.9464,0.8624625,0.8920213,0.2851840243332804,22.90648,712.24994,0.8920213
12,0.8613389,0.3870262463110476,0.0005403601,22.99089,712.1396,0.8613389,0.89317375,0.2801942059633422,22.90648,712.24994,0.89317375
13,0.8639903,0.37986846405180297,0.0005133421,22.994865,712.3041,0.8639903,0.8920213,0.27985564745583774,22.90648,712.24994,0.8920213
14,0.8649858,0.37375553528267286,0.000487675,22.981962,711.711,0.8649858,0.88643616,0.2926208626920894,22.90648,712.2499,0.88643616
15,0.8680216,0.3692652617713815,0.00046329122,22.990301,712.17206,0.8680216,0.88741136,0.285436380191543,22.90648,712.2499,0.88741136
16,0.868061,0.3665346423499762,0.00044012666,22.983807,711.82666,0.868061,0.8894504,0.28419659109944007,22.90648,712.2501,0.8894504
17,0.8696972,0.3642377123187307,0.00041812033,22.98902,712.234,0.8696972,0.8963652,0.2775170519358694,22.90648,712.24994,0.8963652
18,0.8726345,0.3554015823238525,0.00039721432,22.98707,711.82935,0.8726345,0.8949468,0.27830836334723535,22.90648,712.25006,0.8949468
19,0.8723486,0.35443878190277917,0.0003773536,22.985456,711.9416,0.8723486,0.8927305,0.2805819023337405,22.90648,712.25006,0.8927305
20,0.8737778,0.3492121474352982,0.00035848594,22.986086,711.9751,0.8737778,0.89503545,0.2728887440079013,22.90648,712.25006,0.89503545
21,0.8748029,0.3457492252494837,0.00034056162,22.993118,712.26794,0.8748029,0.8954787,0.27216668674290856,22.90648,712.2502,0.8954787
22,0.87528586,0.34748624301853476,0.00032353355,22.979721,711.7907,0.87528586,0.89503545,0.2700160536178425,22.90648,712.2501,0.89503545
23,0.8757491,0.3420180166121105,0.00030735688,22.993168,712.09094,0.8757491,0.8937943,0.2716278439692858,22.90648,712.2501,0.8937943
24,0.8761138,0.3404100557227857,0.000291989,22.986027,712.0898,0.8761138,0.8958333,0.2677138184781297,22.90648,712.2501,0.8958333
25,0.8777204,0.3371962687322872,0.00027738957,22.98921,711.9173,0.8777204,0.8958333,0.26831970887921625,22.90648,712.2501,0.8958333
26,0.8776218,0.33798779050195804,0.0002635201,22.988024,712.04407,0.8776218,0.89654255,0.2679580384391849,22.90648,712.2502,0.89654255
27,0.8789426,0.3352676961436442,0.00025034408,22.989212,712.14636,0.8789426,0.8981383,0.26521879379863794,22.90648,712.25024,0.8981383
28,0.8798691,0.33227112162209066,0.00023782688,22.9911,712.1838,0.8798691,0.8972518,0.2672565074500728,22.90648,712.2501,0.8972518
29,0.8802141,0.3291947673386419,0.00022593554,22.979952,711.6483,0.8802141,0.8968085,0.2685820402230247,22.90648,712.2501,0.8968085
